stack,nb_occurences,hunspell_bo
བྷྲཱུྃ,4876,0
ཀཾ,4872,0
ལྤ,4853,1
ཕྱྭ,4836,1
པཾ,4828,0
གྲྀ,4718,0
ན༷,4623,0
ཏཱཾ,4573,0
ད༷,4541,0
ལིཾ,4533,0
རྟི,4516,1
ཧུཾ,4470,0
ཨཾ,4452,0
ཏཾ,4417,0
རྐོ,4382,1
སྨུ,4371,1
ཊ྄,4357,0
དཾ,4353,0
དྨོ,4344,0
རྔོ,4320,1
རྨུ,4306,1
དྷེ,4296,0
དཱི,4295,0
ཀྴ,4277,0
པ༷,4080,0
།ུ,4057,0
ཝེ,4041,1
སྤྲེ,4040,1
ཏྭཱ,4024,0
ནྲྀ,4005,0
ག༷,3870,0
ཏྱ,3831,0
ཥི,3831,0
ནཱཾ,3818,0
པྱི,3810,1
ཤཱི,3756,0
ཥྤེ,3746,0
སྨྱུ,3721,1
རྙོ,3717,1
ལ༷,3702,0
ལཱི,3696,0
བྲྀ,3673,0
རྨཱ,3671,0
ཨཱི,3665,0
སཱི,3661,0
ཊི,3600,0
བ༷,3596,0
ཝི,3596,1
ཌཱུ,3595,0
ཉྫ,3591,0
རྑྷཾ,3588,0
ནྡྷེ,3558,0
རཱུ,3533,0
དྲྀ,3509,0
སྨེ,3506,1
ནྟི,3496,0
སྐྲུ,3485,1
ཀྵི,3368,0
ནཻ,3323,0
ར༷,3282,0
མཱཾ,3251,0
སྥ,3251,0
མཽ,3244,0
རྀ,3221,0
སྙུ,3218,1
༁ྃ,3147,0
ལྐུ,3142,1
མ༷,3138,0
ཝཾ,3125,0
ཎཱ,3099,0
དྡྷེ,3066,0
དྷཱི,3038,0
རྐེ,2990,1
སཱུ,2971,0
སྨྲོ,2969,1
ཥྱ,2940,0
ཏྲཱཾ,2921,0
ཤཾ,2915,0
བྃ,2913,0
ཛཾ,2899,0
ཋ,2890,0
སྒུ,2880,1
ཧྞ,2823,0
པྲི,2704,1
བྷོ,2704,0
ཞྭ,2659,1
ཅྭ,2595,0
ནྟུ,2588,0
ཥཱ,2581,0
ཀྵུ,2580,0
ཤཱུ,2568,0
ནྟིཾ,2566,0
རྻ,2550,0
ཁི,2540,1
ཀྱཻ,2520,0
ལྕོ,2488,1
སྦེ,2481,1
ཨཽ,2468,0
ཧྱ,2466,0
ཨཱུ,2449,0
རྦྦ,2427,0
ཏྲཾ,2423,0
ཀྐི,2411,0
ཌྷ,2371,0
རྨེ,2368,1
གྷུ,2347,0
ཌི,2321,0
དྡྷཱ,2304,0
དྨེ,2303,0
ངྒཱ,2285,0
སྨྲེ,2274,1
ཏྲེ,2241,1
དཱུ,2209,0
མཱུ,2205,0
ཤྩ,2198,0
བྷྲཱུཾ,2197,0
སྨྲི,2188,0
ཤྲི,2171,0
་ྃ,2170,0
རྒྷཾ,2162,0
བྡ,2161,0
སྒྱི,2155,1
ཤྱ,2153,0
མྦ,2104,0
ཧཱི,2089,0
མྲ,2080,1
ཤྲ,2078,0
ང༵,2074,0
ཎཱི,2058,0
ངྷ,2054,0
ནྟྲ,2048,0
ཕེཾ,2036,0
རྦོ,2020,1
སུཾ,2018,0
པྲཱ,2004,0
ས༵,2003,0
ནྡྷུ,2000,0
ཧཱུྂ,2000,0
པ྄,1998,0
ཥྚཱ,1992,0
བྱཱ,1980,0
ཥུ,1965,0
རྃ,1945,0
སྣེ,1943,1
དྱཱ,1920,0
ཀྐ,1903,0
མཱི,1887,0
དེ༷,1885,0
ཧྲིཾ,1878,0
སྒྱེ,1873,1
ཧྲྀ,1872,0
ན༵,1853,0
རྞ,1849,0
གྣ,1807,0
དྱཾ,1794,0
ཧྲཱིཾ,1794,0
༔༙,1776,0
ཏྟཱ,1739,0
ནྣ,1738,0
གཱི,1735,0
ཏྲཱ,1735,0
ཪྵ,1733,0
ཀྵེ,1725,0
ཙྪི,1725,0
ཎཾ,1708,0
ཛྷ,1673,0
ལླི,1673,0
ཧུྃ,1671,0
ཉྫུ,1654,0
རྫེ,1654,1
ཤློ,1649,0
སྐྲོ,1640,1
ཊཱ,1624,0
ག༵,1596,0
སྱཱ,1596,0
ཏྲྀ,1594,0
ཥེ,1594,0
ཎེ,1586,0
མ༵,1584,0
ཀྱོ,1579,1
སྟྭ,1570,0
ད༵,1567,0
པ༵,1566,0
པྲྀ,1564,0
གྷཱ,1529,0
རྨྨ,1526,0
ཋི,1523,0
ཊཱི,1521,0
རྦྷ,1514,0
ཨཻ,1503,0
ཁྭ,1501,1
ལྕུ,1491,1
ཎཱཾ,1479,0
རྠ,1459,0
སྥོ,1459,0
ཀྵཱ,1451,0
པྲེ,1442,1
ངྐ,1411,0
ཥྚི,1410,0
གྷོ,1401,0
སིཾ,1391,0
མཻ,1387,0
སྨྱི,1384,1
དྷྲྀ,1379,0
བ༵,1371,0
ཨཱོཾ,1356,0
སཽ,1354,0
འི༷,1341,0
ཛཱི,1333,0
༁,1324,0
དྡྷོ,1322,0
གྲཱི,1319,0
ཏྱཱ,1314,0
ཅྭོ,1305,0
ལྀ,1304,0
ཧྲུ,1299,1
ཡཻ,1298,0
པྲོ,1295,1
ལྗི,1285,1
ངྒེ,1273,0
གྷྣཱ,1245,0
ལ༵,1240,0
ནྡེ,1239,0
ཧྲ,1239,1
ཧྨ,1238,0
དྷྭ,1234,0
རྫྙཱ,1232,0
མྦུ,1231,0
ལྡུ,1231,1
ཛྲཱ,1223,0
ལྲྀ,1221,0
ནྟེ,1216,0
མི༷,1211,0
ཌུ,1210,0
ཛྲེ,1206,0
སྠཱ,1202,0
ཉྫི,1197,0
རྡི,1195,1
ཐཾ,1193,0
ཥྚིཾ,1185,0
བྷྲ,1184,0
བྷྱཱ,1182,0
ཎྜཱི,1148,0
ཎྱ,1145,0
དྲཱ,1135,0
དྭི,1123,0
ཨཱཾ,1114,0
གཾ,1112,0
ཧྃ,1112,0
བྷྱཱཾ,1098,0
ཝཱི,1096,0
ཏཻ,1088,0
ཛྲི,1088,0
ཊུ,1081,0
སྷོ,1066,0
ཞི༷,1062,0
བྷྲྀ,1057,0
ཧྭ,1056,1
ར༵,1054,0
ཥྨ,1050,0
ཡཱཾ,1048,0
དྷྱ,1047,0
ངྟ,1037,0
སྲྀ,1037,0
རླི,1034,1
རྷ,1022,0
ཡྃ,1013,0
༔ྃ,1009,0
སྨཻ,1009,0
གྷི,1006,0
དྨཱ,993,0
ཎྱེ,985,0
སྱེ,983,0
ནྟཾ,972,0
དྷོ,965,0
ལཱཾ,965,0
ལྒ,955,1
གྭ,954,1
ཪྻ,954,0
ཀྭ,951,1
རྡྷ,951,0
ལླ,951,0
སྠི,943,0
ཛྙ,935,0
ནི༷,933,0
རྣཾ,926,0
ཥྛཱ,923,0
ཥཱི,919,0
ཛྫ,918,0
ཌོ,914,0
གྣི,910,0
ཁྃ,905,0
གྲཱ,899,0
ཥྞ,894,0
མ྄,892,0
ལླེ,892,0
ཤྲུ,887,0
པཱི,883,0
མྦི,882,0
ཏྶ,879,0
བྷཻ,871,0
ཡི༷,862,0
རྱཱ,861,0
ཎྜེ,859,0
རཱྀ,849,0
རྦཱ,843,0
ནྡཱ,842,0
ནྟཱ,839,0
རྒྱོ,838,1
ཥྛི,836,0
ཀླི,834,1
ཀྲཱི,828,0
ལྦུ,819,1
྾,819,0
ཀྶཾ,814,0
ཏྟི,814,0
ཀིཾ,813,0
ཊེ,813,0
ཀྟི,811,0
བྷཾ,809,0
མེ༷,805,0
ཥྤ,800,0
ཊྚ,799,0
ཙཽ,799,0
རྞྞ,798,0
སྠ,796,0
སྦྲི,794,1
པཱཾ,790,0
ཡཽ,783,0
ཐུཾ,779,0
ལྦ,774,1
ཥྚཾ,770,0
ཀྵོ,769,0
ནྜ,767,0
བྲུྃ,763,0
ངི,762,1
ལཱུ,762,0
ཪྴ,762,0
ཋཱ,760,0
རྦུ,753,1
ཏྟཾ,751,0
ཏྲཻ,749,0
བྷཱི,748,0
ཀ྄,736,0
དྱེ,733,0
ཏྲུ,727,0
སྟཱ,725,0
ཧཱུ,725,0
ཪྴེ,720,0
ཏྲོ,718,0
ནྡུ,715,0
གྷྣ,711,0
སྟཾ,710,0
ཙཾ,707,0
ཏྱེ,692,0
ཥྚཱཾ,675,0
གྷྲྀ,673,0
ཨྃ,669,0
དྱུ,667,0
རྨྱི,663,1
དུ༷,662,0
ཨྠིྀ,662,0
རཽ,654,0
ཕི,647,1
གྷྲི,643,0
ལྱ,640,0
ཉྩི,637,0
ཏྭེ,636,0
རྒྷ,631,0
ལཱྀ,629,0
མྨེ,625,0
ཏྭཾ,624,0
ཏྱུ,616,0
ཁྲོཾ,614,0
ནྲ,610,0
དོ༷,608,0
ཥྞཱི,608,0
མྤ,607,0
ཛྱ,601,0
ཧྱེ,601,0
ཧྞཱ,599,0
ཎུ,595,0
བ྄,586,0
ཀཻ,576,0
ཁྱཱ,575,0
དྭེ,574,0
ས྄,573,0
རྣི,572,1
ཀེཾ,571,0
མུཾ,571,0
ཀྵྱ,564,0
ནྨ,563,0
ཤྩི,562,0
ཥྭ,560,0
སྨཱ,560,0
ཀྭི,556,0
འི༵,556,0
ཥྤཾ,556,0
ཙྪེ,554,0
ཏྟེ,552,0
ཉྩཱ,547,0
རྞི,547,0
སྥུ,547,0
དྷྱཱ,546,0
ཏྲཱྃ,541,0
བཽ,541,0
ཙཱི,538,0
ཛྲཱི,538,0
མཱུཾ,537,0
ཏུཾ,535,0
པོ༷,535,0
ཊཾ,534,0
ཎོ,534,0
ཅི༷,533,0
ནྱཱ,531,0
སྟྲི,529,0
ངྷི,527,0
་ེ,524,0
ནྡི,521,0
སོ༷,519,0
སྤྱུ,519,1
ཊྭཱྃ,517,0
སྨྱ,517,1
སྃ,516,0
གྷྲ,515,0
ཡ༷,515,0
ཀྵཱི,512,0
རྦི,512,1
ཀྵཾ,511,0
ཀྲཱ,510,0
ཛྲོ,507,0
ཀྵིཾ,505,0
སྨྲྀ,505,0
སྟྲ,504,0
ཥཾ,502,0
ཏྠ,501,0
ཏྲཱུཾ,501,0
ངྔྷི,500,0
ན྄,500,0
ཧྣ,500,0
ཀཱུ,498,0
།ྃ,497,0
ཡཱི,495,0
མྃ,493,0
ཤྲེ,493,0
ལྃ,490,0
ཌྷོ,489,0
མྲི,488,0
ཏཽ,486,0
ཏྲུཾ,486,0
བྲཱ,478,0
ཛྭཱ,478,0
རྟྟ,475,0
ཏྐ,468,0
བྱཾ,464,0
ཀྟོ,463,0
ཏ྄,459,0
སྐྲྀ,459,0
སྱི,458,0
ཏྲཱི,455,0
ཡཱུ,455,0
ཎྜཱ,451,0
བྱ༷,451,0
ངྐུ,450,0
ཙཱུ,450,0
ལྭ,450,1
ཀྐོ,447,0
མྦཱ,447,0
ཀྟཱ,446,0
རྵ,443,0
ཉྱ,441,0
བཱཾ,440,0
ཥོ,440,0
དི༷,439,0
སྟཱཾ,439,0
ནཽ,438,0
ཌེ,437,0
ཏྱཾ,437,0
ནྲི,436,0
ཀླེ,435,1
གྲཱྀ,433,0
ཨྱཻ,432,0
ཪྺ,430,0
ཙྪཱ,428,0
༏,423,1
རྐྱོ,420,1
ཥྐ,420,0
ཥྱཱ,418,0
ནྣི,417,0
་༵,415,0
ཧཻ,415,0
ཇི༷,414,0
ངྔྷ,413,0
ངྷཱ,412,0
རྟྟི,412,0
ལྱཱ,410,0
ཤྲཱ,409,0
རྦྷེ,407,0
བྷྲཱ,406,0
ཪྵཱ,405,0
གི༷,403,0
གྷྲཾ,398,0
ཅ༷,398,0
རྱོ,398,0
པྃ,396,0
རྨྨཱ,396,0
ོ༹,394,0
དེ༵,394,0
ཡོ༷,394,0
ཤྭཱ,394,0
བྲུཾ,393,0
ཡྱ,392,0
དྷཾ,389,0
གྷེ,387,0
འ༷,387,0
རི༷,387,0
ཊྲ,385,0
པོ༵,385,0
གྷྣཱཾ,384,0
མྦྷི,384,0
ཥཱཾ,384,0
ནྠ,383,0
དཻ,382,0
ཏྤཱ,377,0
དྱོ,376,0
ཥྞུ,376,0
བུཾ,375,0
ཞ༷,375,0
ནྡྷི,374,0
སྟྲཱི,374,0
ཀྵྞ,372,0
ཧིཾ,370,0
པུཾ,368,0
ངྷེ,366,0
ཐ༷,366,0
དྒ,366,0
ཧླ,363,0
རཻ,362,0
ཆེ༷,361,0
དཽ,361,0
སེ༷,361,0
དྭཱ,359,0
ཤྭེ,356,0
ངྷུ,355,0
ལྷེ,353,1
ཧཱཾ,353,0
